call_duration,correspondent_id,datetime,direction,interaction
69,1794,2014-01-22 18:28:53,out,call
,1794,2014-01-22 18:33:59,in,text
,5168,2014-01-22 22:21:04,in,text
,5168,2014-01-22 22:25:55,out,text
69,15183,2014-01-23 13:30:29,out,call
66,15825,2014-01-23 14:53:19,in,call
124,2259,2014-01-23 17:35:41,in,call
3,1794,2014-01-23 20:27:02,out,call
0,2259,2014-01-23 20:51:35,out,call
,2259,2014-01-23 20:52:57,in,text
0,2259,2014-01-23 21:04:10,out,call
0,2259,2014-01-23 21:37:28,out,call
0,5168,2014-01-23 21:37:55,out,call
0,5168,2014-01-23 21:38:22,out,call
65,5168,2014-01-23 21:46:26,out,call
0,2259,2014-01-23 21:57:30,in,call
,991,2014-01-23 21:57:46,in,text
,2259,2014-01-23 21:57:55,out,text
,2259,2014-01-23 22:22:01,in,text
534,2259,2014-01-23 22:26:26,out,call
,991,2014-02-03 09:31:04,in,text
180,4774,2014-02-03 10:34:46,out,call
68,24995,2014-02-03 10:43:12,in,call
,991,2014-02-04 15:05:47,in,text
0,4583,2014-02-04 16:46:45,out,call
127,4583,2014-02-04 16:51:17,out,call
,2259,2014-02-04 18:13:20,in,text
,20335,2014-02-04 18:57:32,out,text
,20335,2014-02-04 18:59:12,in,text
,20335,2014-02-04 19:12:17,out,text
,20335,2014-02-04 19:13:16,in,text
,20335,2014-02-04 19:25:17,out,text
,20335,2014-02-04 19:27:27,in,text
,20335,2014-02-04 19:39:45,out,text
,2259,2014-02-05 13:03:07,in,text
,2259,2014-02-05 13:04:03,out,text
,2259,2014-02-05 13:05:05,in,text
,2259,2014-02-05 13:05:24,out,text
,2259,2014-02-05 13:07:54,in,text
34,3510,2014-02-05 18:47:33,in,call
,2259,2014-02-06 10:43:39,out,text
,2259,2014-02-06 10:46:09,in,text
,2259,2014-02-06 10:48:31,out,text
,2259,2014-02-06 11:27:11,in,text
207,1675,2014-02-06 11:52:20,out,call
333,2259,2014-02-06 11:56:27,out,call
34,2259,2014-02-06 15:19:27,in,call
,15824,2014-02-06 17:15:00,out,text
,15824,2014-02-06 17:15:37,in,text
,15824,2014-02-06 17:16:00,out,text
,15824,2014-02-06 17:20:48,in,text
,2259,2014-02-07 11:48:16,out,text
,15185,2014-02-07 12:33:10,in,text
,15185,2014-02-07 12:33:52,out,text
,15185,2014-02-07 12:34:48,in,text
,2259,2014-02-07 13:03:13,in,text
,2259,2014-02-07 13:28:59,out,text
,2259,2014-02-07 13:30:08,in,text
,2259,2014-02-07 13:30:50,out,text
,2259,2014-02-07 13:31:04,out,text
,2259,2014-02-07 13:33:43,in,text
,2259,2014-02-07 13:34:29,out,text
,2259,2014-02-07 15:26:42,in,text
,2259,2014-02-07 20:26:44,in,text
,2259,2014-02-07 20:28:13,out,text
,2259,2014-02-07 20:28:49,in,text
,15185,2014-02-08 02:03:36,out,text
,15185,2014-02-08 02:10:33,in,text
,15185,2014-02-08 02:11:44,out,text
,15185,2014-02-08 04:36:36,in,text
,2259,2014-02-08 16:23:29,in,text
20,1794,2014-02-08 17:42:31,out,call
,15185,2014-02-08 18:15:41,out,text
,2259,2014-02-08 18:15:51,out,text
,2259,2014-02-08 18:18:19,in,text
,2259,2014-02-08 18:47:56,out,text
,2259,2014-02-08 18:49:36,in,text
2,15185,2014-02-09 02:02:00,out,call
,15185,2014-02-09 13:37:04,in,text
,15185,2014-02-09 20:42:16,out,text
,15185,2014-02-09 22:00:40,in,text
,15185,2014-02-09 22:01:06,in,text
,15185,2014-02-09 22:15:54,out,text
0,1675,2014-02-10 13:46:35,out,call
647,1675,2014-02-10 13:47:01,out,call
780,4583,2014-02-10 17:29:53,in,call
,15185,2014-02-10 18:07:41,in,text
,15185,2014-02-10 18:14:27,out,text
,3510,2014-02-10 23:27:11,out,text
,3510,2014-02-11 02:40:28,in,text
,2259,2014-02-11 09:51:10,in,text
,5453,2014-02-11 18:39:01,in,text
,5453,2014-02-11 18:57:41,out,text
,5453,2014-02-11 18:58:02,out,text
71,2259,2014-02-11 19:01:01,in,call
,5453,2014-02-11 19:06:40,in,text
,5453,2014-02-11 19:10:56,out,text
,5453,2014-02-11 19:19:23,in,text
,991,2014-02-11 20:20:14,in,text
1160,2259,2014-02-11 20:49:20,out,call
43,491,2014-02-12 12:38:33,in,call
3,2259,2014-02-12 18:41:36,out,call
95,2259,2014-02-12 19:13:30,in,call
,4583,2014-02-12 22:14:23,out,text
,4583,2014-02-12 22:16:31,in,text
,4583,2014-02-12 22:18:22,out,text
,4583,2014-02-12 22:19:21,in,text
211,16192,2014-02-13 12:07:44,out,call
0,16192,2014-02-13 12:11:35,out,call
216,16192,2014-02-13 12:11:51,out,call
,1128,2014-02-13 12:12:21,in,text
43,2465,2014-02-13 12:36:42,out,call
,1128,2014-02-13 15:17:17,in,text
1,4583,2014-02-13 16:11:12,out,call
491,2259,2014-02-13 16:11:46,out,call
,991,2014-02-13 16:15:15,in,text
0,4583,2014-02-13 19:10:58,out,call
47,4583,2014-02-13 19:19:32,out,call
,512,2014-02-13 23:11:38,out,text
,512,2014-02-13 23:13:25,in,text
,512,2014-02-13 23:32:28,out,text
,512,2014-02-13 23:33:15,in,text
,512,2014-02-13 23:58:00,out,text
,512,2014-02-13 23:59:36,in,text
,512,2014-02-14 00:36:03,out,text
,512,2014-02-14 08:08:03,in,text
218,6284,2014-02-14 10:51:49,out,call
58,26042,2014-02-14 10:57:13,out,call
,512,2014-02-14 11:27:47,out,text
,512,2014-02-14 11:29:38,in,text
17,1794,2014-02-14 13:14:47,out,call
,5453,2014-02-14 20:30:57,out,text
,5453,2014-02-14 20:31:52,in,text
,5453,2014-02-14 20:32:37,out,text
,5453,2014-02-14 20:33:05,in,text
,5453,2014-02-14 20:33:28,out,text
,5453,2014-02-14 20:34:07,in,text
,5453,2014-02-14 20:35:50,out,text
,57897,2014-02-14 20:35:59,in,text
,5453,2014-02-14 20:53:36,in,text
,5453,2014-02-14 20:55:39,out,text
474,2259,2014-02-15 10:11:19,in,call
,4144,2014-02-15 17:52:16,in,text
,4144,2014-02-15 17:53:04,out,text
44,1794,2014-02-15 18:02:32,in,call
,512,2014-02-15 23:20:58,out,text
,512,2014-02-15 23:23:27,in,text
,512,2014-02-15 23:23:42,out,text
,512,2014-02-15 23:24:08,in,text
,512,2014-02-15 23:24:26,out,text
,512,2014-02-15 23:26:08,in,text
,512,2014-02-15 23:29:14,in,text
,512,2014-02-15 23:31:47,out,text
,512,2014-02-15 23:32:33,in,text
,512,2014-02-15 23:34:10,out,text
,512,2014-02-15 23:39:28,in,text
,512,2014-02-15 23:39:45,out,text
,512,2014-02-15 23:42:21,in,text
,512,2014-02-15 23:43:00,out,text
,512,2014-02-15 23:45:15,in,text
,512,2014-02-15 23:45:47,out,text
,512,2014-02-15 23:47:14,in,text
,512,2014-02-15 23:48:10,out,text
,512,2014-02-15 23:53:46,in,text
,512,2014-02-15 23:53:49,in,text
,512,2014-02-15 23:54:17,in,text
,512,2014-02-15 23:56:39,out,text
,512,2014-02-15 23:57:14,in,text
,512,2014-02-16 00:02:14,out,text
,512,2014-02-16 00:10:45,in,text
,512,2014-02-16 00:41:39,out,text
,512,2014-02-16 00:46:37,in,text
,512,2014-02-16 00:49:30,out,text
,512,2014-02-16 00:55:49,in,text
,512,2014-02-16 00:57:44,out,text
,512,2014-02-16 00:58:39,in,text
,512,2014-02-16 01:00:29,out,text
,512,2014-02-16 01:16:42,out,text
,512,2014-02-16 01:18:37,in,text
,512,2014-02-16 01:18:44,in,text
,512,2014-02-16 01:20:00,in,text
,512,2014-02-16 01:20:32,out,text
,512,2014-02-16 01:21:59,in,text
,512,2014-02-16 01:22:20,out,text
,512,2014-02-16 01:25:31,out,text
,512,2014-02-16 01:29:51,in,text
,512,2014-02-16 01:38:05,in,text
,512,2014-02-16 01:38:19,in,text
,512,2014-02-16 01:38:35,out,text
,512,2014-02-16 02:06:17,in,text
,512,2014-02-16 02:45:30,out,text
,512,2014-02-16 03:27:22,in,text
,512,2014-02-16 03:28:12,out,text
,512,2014-02-16 03:28:36,out,text
,512,2014-02-16 03:47:15,in,text
,512,2014-02-16 04:15:37,in,text
0,882,2014-02-16 04:17:52,out,call
,1128,2014-02-16 04:18:19,in,text
29,882,2014-02-16 04:18:22,in,call
,1128,2014-02-16 07:23:19,in,text
,512,2014-02-16 07:57:37,in,text
,512,2014-02-16 11:44:38,in,text
,512,2014-02-16 12:35:44,out,text
,512,2014-02-16 12:38:29,in,text
,512,2014-02-16 12:49:44,out,text
,512,2014-02-16 13:08:46,in,text
,512,2014-02-16 13:18:13,out,text
,512,2014-02-16 13:22:48,in,text
19,208,2014-02-17 16:04:28,in,call
0,4583,2014-02-17 17:29:26,out,call
156,4583,2014-02-17 17:36:59,out,call
240,2259,2014-02-17 19:28:51,in,call
,512,2014-02-17 22:29:49,in,text
,512,2014-02-17 22:36:34,out,text
,512,2014-02-17 22:55:03,in,text
,512,2014-02-17 23:02:50,out,text
,512,2014-02-17 23:17:01,in,text
,512,2014-02-17 23:21:32,out,text
,512,2014-02-17 23:23:03,in,text
,512,2014-02-17 23:23:50,out,text
,512,2014-02-17 23:26:54,in,text
,512,2014-02-17 23:38:03,out,text
,512,2014-02-17 23:38:51,out,text
,512,2014-02-18 00:32:08,in,text
,512,2014-02-18 00:35:17,out,text
,512,2014-02-18 00:38:09,in,text
,512,2014-02-18 00:38:30,out,text
,512,2014-02-18 00:38:44,in,text
,512,2014-02-18 00:39:05,out,text
,512,2014-02-18 00:39:32,in,text
,512,2014-02-18 00:40:00,out,text
,512,2014-02-18 00:40:25,in,text
,512,2014-02-18 00:47:47,out,text
,512,2014-02-18 00:48:47,in,text
,512,2014-02-18 00:49:25,out,text
,512,2014-02-18 00:51:46,in,text
,512,2014-02-18 00:53:19,out,text
,512,2014-02-18 00:54:42,in,text
,512,2014-02-18 00:55:14,out,text
,512,2014-02-18 00:56:39,in,text
,512,2014-02-18 00:56:53,out,text
,512,2014-02-18 01:08:25,in,text
,512,2014-02-18 01:09:09,out,text
,512,2014-02-18 01:10:54,in,text
,512,2014-02-18 01:11:22,out,text
,512,2014-02-18 01:13:47,in,text
,512,2014-02-18 01:14:36,out,text
,512,2014-02-18 01:16:34,in,text
3,512,2014-02-18 11:59:39,out,call
,4144,2014-02-18 13:49:44,in,text
,4144,2014-02-18 13:50:09,out,text
,4144,2014-02-18 13:50:44,in,text
,4144,2014-02-18 13:50:51,in,text
0,2259,2014-02-18 18:36:26,out,call
204,2259,2014-02-18 18:36:35,out,call
141,4583,2014-02-20 12:48:47,in,call
210,8902,2014-02-20 13:04:17,out,call
,4144,2014-02-20 15:33:40,in,text
,15676,2014-02-20 16:22:44,in,text
,15676,2014-02-20 16:37:10,out,text
,15676,2014-02-20 16:45:33,in,text
,3519,2014-02-20 19:19:57,in,text
,3519,2014-02-20 19:21:43,out,text
,3519,2014-02-20 19:22:19,in,text
,15676,2014-02-20 21:54:29,in,text
,15676,2014-02-20 21:57:11,out,text
,15676,2014-02-20 21:59:00,in,text
,15676,2014-02-20 22:00:19,out,text
,15676,2014-02-20 22:00:59,in,text
0,15676,2014-02-21 08:55:56,out,call
3,2259,2014-02-21 12:38:09,out,call
109,2259,2014-02-21 13:03:36,in,call
0,2259,2014-02-21 15:12:07,out,call
31,2259,2014-02-21 15:17:25,out,call
0,4583,2014-02-21 15:29:35,out,call
107,4583,2014-02-21 15:29:56,out,call
4,2259,2014-02-21 15:51:06,out,call
55,2259,2014-02-21 16:02:38,in,call
21,2259,2014-02-21 16:36:04,in,call
,64100,2014-02-22 00:19:02,in,text
,64100,2014-02-22 00:19:30,out,text
,64100,2014-02-22 00:19:50,in,text
,64100,2014-02-22 00:20:04,in,text
,64100,2014-02-22 00:20:43,out,text
,64100,2014-02-22 00:21:54,in,text
,64100,2014-02-22 00:22:29,out,text
,64100,2014-02-22 00:23:00,in,text
,64100,2014-02-22 00:23:17,in,text
,64100,2014-02-22 00:23:47,out,text
,64100,2014-02-22 00:24:23,in,text
,64100,2014-02-22 00:24:39,out,text
,64100,2014-02-22 00:25:03,in,text
,64100,2014-02-22 00:25:33,out,text
,64100,2014-02-22 00:26:23,in,text
,64100,2014-02-22 00:26:42,out,text
,64100,2014-02-22 00:27:17,in,text
,64100,2014-02-22 00:27:25,out,text
,64100,2014-02-22 00:27:51,in,text
,64100,2014-02-22 00:49:21,out,text
97,26800,2014-02-22 10:54:52,out,call
26,15824,2014-02-22 10:58:57,out,call
62,26801,2014-02-22 17:57:40,in,call
,26801,2014-02-22 18:01:29,out,text
32,26801,2014-02-22 18:16:42,out,call
,26801,2014-02-22 18:31:28,out,text
16,26801,2014-02-22 18:53:11,out,call
,15824,2014-02-22 23:05:36,in,text
,15824,2014-02-22 23:14:28,out,text
,15184,2014-02-23 00:25:23,in,text
,15824,2014-02-23 01:40:35,in,text
,15824,2014-02-23 01:50:22,out,text
,15824,2014-02-23 01:52:30,in,text
,15824,2014-02-23 01:52:32,in,text
,15824,2014-02-23 01:59:22,out,text
,15824,2014-02-23 01:59:43,in,text
16,15184,2014-02-23 02:00:04,out,call
,15184,2014-02-23 02:00:45,out,text
,15184,2014-02-23 02:01:36,in,text
,15824,2014-02-23 02:28:42,out,text
,15184,2014-02-23 02:38:08,in,text
,15184,2014-02-23 02:51:21,out,text
,15824,2014-02-23 03:30:48,in,text
,15824,2014-02-23 03:49:40,out,text
,15824,2014-02-23 03:51:37,in,text
,15824,2014-02-23 03:55:42,out,text
,15824,2014-02-23 03:56:34,in,text
15,15824,2014-02-23 03:57:06,out,call
7,15824,2014-02-23 04:01:13,in,call
,15184,2014-02-23 10:59:42,in,text
,15184,2014-02-23 12:40:52,in,text
,15184,2014-02-23 13:13:49,out,text
,15184,2014-02-23 13:13:53,out,text
,15184,2014-02-23 15:00:57,in,text
,15184,2014-02-23 15:04:43,out,text
,15676,2014-02-24 20:12:31,out,text
,15676,2014-02-24 21:55:48,in,text
116,4583,2014-02-27 12:00:01,out,call
185,8902,2014-02-27 12:37:39,out,call
,15185,2014-02-27 14:46:33,out,text
,15185,2014-02-27 14:48:59,in,text
,15185,2014-02-27 14:50:48,out,text
,15185,2014-02-27 14:56:26,in,text
,15185,2014-02-27 15:17:53,in,text
,15185,2014-02-27 15:18:11,out,text
,512,2014-02-27 18:20:02,in,text
,512,2014-02-27 18:20:07,in,text
,512,2014-02-27 18:20:29,out,text
,512,2014-02-27 18:21:15,in,text
,512,2014-02-27 18:21:42,out,text
,512,2014-02-27 18:22:24,in,text
,512,2014-02-27 19:28:24,out,text
,512,2014-02-27 19:30:07,in,text
,512,2014-02-27 19:30:33,in,text
,512,2014-02-27 20:38:24,out,text
,512,2014-02-27 20:38:57,in,text
,512,2014-02-27 20:39:05,out,text
,512,2014-02-28 01:52:20,in,text
2,4583,2014-02-28 10:38:40,out,call
57,4583,2014-02-28 10:58:46,in,call
,1794,2014-02-28 11:11:14,in,text
,512,2014-02-28 12:06:49,out,text
292,2259,2014-02-28 14:15:24,out,call
62,4583,2014-02-28 14:20:30,out,call
0,882,2014-03-01 05:24:27,out,call
131,4583,2014-03-01 09:44:20,out,call
,4583,2014-03-01 09:47:19,out,text
120,4583,2014-03-01 10:25:24,in,call
32,4583,2014-03-01 10:59:19,in,call
36,4583,2014-03-01 11:03:48,in,call
,3510,2014-03-01 13:27:07,in,text
,3510,2014-03-01 13:29:09,in,text
,3510,2014-03-01 13:29:55,out,text
,3510,2014-03-01 13:30:14,in,text
112,19785,2014-03-01 16:41:58,out,call
51,19785,2014-03-01 16:47:48,out,call
72,1392,2014-03-03 09:55:38,in,call
,2259,2014-03-04 08:18:48,in,text
,15676,2014-03-04 11:35:30,out,text
61,1794,2014-03-04 12:18:15,out,call
,15676,2014-03-04 12:47:48,in,text
,15676,2014-03-04 12:48:12,out,text
,15676,2014-03-04 12:49:36,in,text
,15676,2014-03-04 12:50:00,out,text
,15676,2014-03-04 12:50:35,in,text
,15676,2014-03-04 14:57:17,out,text
,1794,2014-03-04 16:54:17,out,text
260,1794,2014-03-04 16:54:49,in,call
,15676,2014-03-04 16:55:56,in,text
283,4583,2014-03-04 18:43:27,in,call
,2259,2014-03-04 19:15:50,in,text
,991,2014-03-05 12:20:10,in,text
25,882,2014-03-05 17:23:54,in,call
,512,2014-03-05 22:54:12,in,text
,512,2014-03-05 22:54:29,out,text
,512,2014-03-05 23:02:01,in,text
,512,2014-03-05 23:02:52,out,text
,512,2014-03-05 23:05:41,in,text
,512,2014-03-05 23:05:51,out,text
,512,2014-03-05 23:37:26,in,text
,512,2014-03-05 23:37:52,out,text
,512,2014-03-05 23:39:00,in,text
,512,2014-03-05 23:39:20,out,text
,512,2014-03-05 23:40:47,in,text
,512,2014-03-05 23:40:57,in,text
,512,2014-03-05 23:40:57,out,text
,512,2014-03-05 23:42:01,in,text
,512,2014-03-05 23:42:35,out,text
,512,2014-03-05 23:44:09,in,text
,512,2014-03-05 23:44:18,out,text
,512,2014-03-05 23:46:10,in,text
,512,2014-03-05 23:46:33,out,text
,512,2014-03-05 23:50:58,in,text
,512,2014-03-05 23:54:48,in,text
,512,2014-03-05 23:55:25,out,text
,512,2014-03-05 23:55:52,in,text
,512,2014-03-05 23:56:23,out,text
,512,2014-03-05 23:57:01,in,text
,512,2014-03-05 23:58:49,in,text
,512,2014-03-06 00:00:46,out,text
,512,2014-03-06 00:01:45,in,text
,512,2014-03-06 00:10:11,in,text
,512,2014-03-06 00:10:47,out,text
,512,2014-03-06 00:10:51,in,text
,512,2014-03-06 00:11:12,in,text
,512,2014-03-06 00:11:29,in,text
,512,2014-03-06 00:11:46,out,text
,512,2014-03-06 00:12:23,in,text
,512,2014-03-06 00:12:38,out,text
,512,2014-03-06 00:13:56,in,text
,512,2014-03-06 00:14:09,out,text
