user1,user2,timestamp
379,339,131567.0
200,569,131569.0
430,45,131572.0
118,331,131574.0
340,601,131577.0
136,512,131580.0
193,263,131581.0
301,607,131586.0
301,406,131586.0
457,569,131597.0
457,96,131597.0
96,457,131598.0
96,569,131598.0
74,217,131603.0
593,219,131603.0
300,607,131604.0
152,568,131609.0
376,114,131610.0
225,331,131611.0
225,118,131611.0
237,133,131617.0
237,154,131617.0
237,93,131617.0
524,249,131621.0
56,100,131623.0
391,368,131630.0
391,617,131630.0
304,163,131636.0
174,439,131643.0
174,522,131643.0
174,159,131643.0
174,331,131643.0
174,227,131643.0
221,524,131658.0
436,621,131658.0
569,112,131661.0
112,569,131663.0
208,360,131664.0
195,229,131666.0
70,624,131668.0
217,74,131668.0
377,15497,131673.0
377,512,131673.0
100,56,131681.0
100,552,131681.0
617,368,131684.0
617,391,131684.0
154,93,131685.0
154,203,131685.0
154,326,131685.0
154,562,131685.0
154,491,131685.0
154,58,131685.0
154,285,131685.0
406,607,131711.0
562,285,131718.0
568,285,131718.0
562,93,131718.0
568,139,131718.0
562,154,131718.0
568,416,131718.0
253,637,131728.0
176,219,131734.0
407,465,131735.0
331,118,131737.0
331,225,131737.0
235,276,131739.0
465,407,131740.0
491,326,131755.0
491,481,131755.0
491,154,131755.0
210,185,131757.0
210,480,131757.0
210,356,131757.0
385,84,131763.0
205,229,131763.0
288,121,131766.0
619,642,131770.0
183,136,131773.0
207,407,131784.0
368,391,131786.0
368,617,131786.0
159,436,131789.0
163,164,131792.0
163,304,131792.0
249,524,131794.0
166,165,131796.0
15,552,131796.0
15,100,131796.0
344,56,131797.0
165,166,131798.0
378,476,131806.0
378,290,131806.0
168,238,131807.0
261,371,131812.0
439,118,131813.0
356,185,131821.0
356,480,131821.0
607,406,131826.0
92,643,131829.0
49,74,131830.0
98,204,131831.0
133,481,131832.0
133,285,131832.0
133,93,131832.0
133,154,131832.0
401,569,131832.0
401,457,131832.0
455,159,131843.0
455,621,131843.0
392,457,131846.0
643,92,131854.0
203,154,131858.0
203,93,131858.0
121,288,131863.0
379,339,131867.0
340,601,131869.0
118,436,131872.0
118,439,131872.0
118,331,131872.0
193,263,131881.0
612,534,131885.0
394,140,131894.0
567,92,131897.0
567,643,131897.0
74,217,131903.0
96,200,131909.0
96,569,131909.0
257,331,131912.0
152,139,131913.0
152,568,131913.0
152,416,131913.0
152,58,131913.0
524,249,131921.0
237,481,131924.0
237,133,131924.0
237,93,131924.0
306,16,131926.0
421,65,131929.0
114,376,131935.0
363,252,131936.0
304,163,131936.0
174,159,131940.0
174,436,131940.0
391,617,131941.0
391,368,131941.0
436,331,131959.0
221,524,131963.0
112,569,131967.0
569,112,131969.0
569,200,131969.0
217,74,131970.0
377,512,131973.0
377,638,131973.0
377,15497,131973.0
377,136,131973.0
653,513,131978.0
190,200,131992.0
97,351,131993.0
406,607,132005.0
253,637,132010.0
617,368,132014.0
617,391,132014.0
46,638,132016.0
46,377,132016.0
46,512,132016.0
46,136,132016.0
568,139,132019.0
568,552,132019.0
235,85,132033.0
260,600,132033.0
260,63,132033.0
260,113,132033.0
353,100,132035.0
353,56,132035.0
331,257,132037.0
465,407,132041.0
407,465,132047.0
288,121,132054.0
179,812,132059.0
210,185,132062.0
385,84,132062.0
210,356,132062.0
580,283,132065.0
205,229,132070.0
207,465,132078.0
207,407,132078.0
575,50,132081.0
491,93,132086.0
491,285,132086.0
491,133,132086.0
183,377,132087.0
159,455,132088.0
159,621,132088.0
159,436,132088.0
163,164,132092.0
368,617,132092.0
368,391,132092.0
344,56,132093.0
249,524,132094.0
166,165,132097.0
15,100,132108.0
15,58,132108.0
378,476,132110.0
378,290,132110.0
439,436,132114.0
261,513,132115.0
276,194,132115.0
356,185,132121.0
356,480,132121.0
607,406,132125.0
92,643,132129.0
49,74,132130.0
133,93,132135.0
133,326,132135.0
133,203,132135.0
133,481,132135.0
133,562,132135.0
401,457,132138.0
455,439,132143.0
455,159,132143.0
392,487,132148.0
392,457,132148.0
203,326,132153.0
203,285,132153.0
203,562,132153.0
194,276,132154.0
643,92,132154.0
289,546,132158.0
121,288,132163.0
340,601,132169.0
358,182,132175.0
224,223,132177.0
193,372,132181.0
567,643,132197.0
567,92,132197.0
457,323,132201.0
457,96,132201.0
96,443,132204.0
152,139,132205.0
277,39,132205.0
257,436,132206.0
16,306,132206.0
16,572,132206.0
394,140,132208.0
56,198,132214.0
524,249,132219.0
164,163,132225.0
237,133,132230.0
237,285,132230.0
237,481,132230.0
237,203,132230.0
237,93,132230.0
304,163,132237.0
20,21,132240.0
391,617,132255.0
391,368,132255.0
391,434,132255.0
569,112,132259.0
436,331,132260.0
208,648,132260.0
208,74,132260.0
112,569,132263.0
377,136,132273.0
377,512,132273.0
100,285,132288.0
190,372,132290.0
182,358,132303.0
252,363,132303.0
481,93,132303.0
481,203,132303.0
481,133,132303.0
198,552,132305.0
198,100,132305.0
198,56,132305.0
406,607,132307.0
406,300,132307.0
406,301,132307.0
253,637,132310.0
617,391,132314.0
617,434,132314.0
617,368,132314.0
65,229,132314.0
46,512,132321.0
46,377,132321.0
46,136,132321.0
568,139,132323.0
260,600,132327.0
407,465,132335.0
331,257,132337.0
331,436,132337.0
353,100,132342.0
353,56,132342.0
465,407,132355.0
494,164,132356.0
494,163,132356.0
288,121,132358.0
288,217,132358.0
288,466,132358.0
50,575,132361.0
397,585,132362.0
619,200,132369.0
205,229,132370.0
580,283,132370.0
385,84,132373.0
416,100,132374.0
416,139,132374.0
416,568,132374.0
179,812,132377.0
207,465,132378.0
368,617,132386.0
368,391,132386.0
467,465,132388.0
210,356,132389.0
210,185,132389.0
344,198,132390.0
344,100,132390.0
163,494,132392.0
163,164,132392.0
163,304,132392.0
243,520,132393.0
166,165,132396.0
491,326,132399.0
249,524,132401.0
15,100,132408.0
15,198,132408.0
378,290,132410.0
628,116,132415.0
439,346,132416.0
439,455,132416.0
356,185,132423.0
356,480,132423.0
607,300,132431.0
607,406,132431.0
92,643,132441.0
392,323,132446.0
392,457,132446.0
392,263,132446.0
346,439,132448.0
346,455,132448.0
643,92,132454.0
116,628,132455.0
121,288,132464.0
200,619,132469.0
358,182,132470.0
301,300,132482.0
394,140,132490.0
96,323,132495.0
567,643,132498.0
567,92,132498.0
431,112,132499.0
457,96,132499.0
175,512,132502.0
175,136,132502.0
175,377,132502.0
300,301,132504.0
300,406,132504.0
300,607,132504.0
16,572,132506.0
257,331,132506.0
16,306,132506.0
152,139,132511.0
56,198,132516.0
237,203,132525.0
237,93,132525.0
237,491,132525.0
237,133,132525.0
237,481,132525.0
164,494,132526.0
164,163,132526.0
164,304,132526.0
304,163,132538.0
20,21,132540.0
174,331,132541.0
391,617,132550.0
391,368,132550.0
324,230,132554.0
585,397,132556.0
436,118,132560.0
436,225,132560.0
436,227,132560.0
112,431,132564.0
112,569,132564.0
208,74,132570.0
377,512,132579.0
377,136,132579.0
217,288,132580.0
217,74,132580.0
653,513,132580.0
217,15497,132580.0
100,552,132589.0
100,198,132589.0
413,522,132589.0
195,139,132590.0
190,372,132594.0
70,352,132594.0
680,512,132598.0
230,546,132603.0
198,56,132607.0
198,100,132607.0
456,246,132611.0
456,156,132611.0
182,358,132613.0
46,377,132617.0
46,136,132617.0
156,456,132618.0
156,246,132618.0
568,139,132618.0
568,416,132618.0
246,456,132619.0
260,63,132625.0
253,637,132625.0
260,600,132625.0
353,65,132632.0
572,16,132633.0
331,436,132640.0
642,619,132641.0
407,465,132642.0
176,68,132645.0
333,261,132653.0
288,269,132657.0
288,121,132657.0
106,648,132658.0
465,407,132659.0
179,812,132659.0
50,575,132664.0
619,200,132670.0
580,283,132670.0
205,80,132674.0
227,118,132674.0
575,50,132681.0
204,453,132683.0
210,356,132688.0
210,185,132688.0
163,304,132692.0
163,164,132692.0
249,229,132693.0
344,100,132698.0
344,198,132698.0
140,394,132700.0
187,156,132702.0
15,100,132706.0
15,198,132706.0
491,481,132712.0
491,133,132712.0
439,621,132713.0
378,290,132713.0
628,116,132715.0
51,52,132725.0
437,471,132730.0
49,217,132730.0
607,300,132731.0
607,301,132731.0
401,372,132732.0
92,643,132742.0
392,323,132746.0
203,93,132757.0
203,133,132757.0
203,326,132757.0
203,491,132757.0
203,562,132757.0
589,291,132760.0
372,190,132765.0
133,93,132768.0
133,491,132768.0
133,481,132768.0
121,466,132769.0
121,288,132769.0
340,601,132769.0
358,182,132769.0
118,159,132772.0
118,331,132772.0
118,227,132772.0
263,96,132773.0
443,642,132782.0
443,619,132782.0
297,283,132784.0
301,406,132787.0
301,300,132787.0
147,479,132788.0
200,619,132790.0
567,92,132799.0
394,140,132800.0
152,139,132800.0
152,568,132800.0
300,301,132803.0
277,39,132806.0
16,306,132806.0
257,225,132806.0
257,331,132806.0
311,290,132806.0
104,121,132808.0
612,466,132808.0
104,249,132808.0
104,229,132808.0
291,191,132809.0
291,589,132809.0
56,198,132823.0
524,288,132824.0
164,494,132826.0
164,163,132826.0
225,159,132826.0
237,326,132830.0
237,133,132830.0
237,481,132830.0
237,491,132830.0
237,203,132830.0
304,164,132837.0
304,163,132837.0
174,331,132840.0
174,522,132840.0
319,649,132847.0
324,291,132848.0
221,524,132857.0
436,522,132860.0
436,331,132860.0
208,512,132866.0
217,49,132869.0
217,74,132869.0
100,198,132875.0
653,513,132881.0
309,520,132882.0
309,427,132882.0
309,106,132882.0
309,243,132882.0
195,416,132883.0
70,352,132899.0
230,546,132903.0
230,324,132903.0
230,291,132903.0
230,589,132903.0
198,56,132908.0
182,434,132908.0
198,100,132908.0
13,52,132912.0
614,229,132914.0
601,340,132915.0
156,246,132918.0
156,456,132918.0
156,187,132918.0
46,136,132920.0
468,116,132927.0
568,139,132928.0
568,416,132928.0
246,156,132932.0
407,465,132935.0
331,225,132936.0
331,257,132936.0
331,436,132936.0
91,459,132937.0
91,649,132937.0
642,619,132941.0
642,443,132941.0
427,493,132949.0
427,106,132949.0
427,243,132949.0
427,309,132949.0
465,407,132950.0
466,269,132951.0
50,493,132952.0
494,164,132956.0
494,163,132956.0
397,585,132962.0
106,575,132969.0
179,812,132970.0
288,121,132972.0
227,436,132973.0
580,283,132977.0
416,568,132985.0
416,139,132985.0
416,58,132985.0
374,490,132987.0
467,290,132987.0
210,356,132988.0
204,163,132989.0
159,118,132990.0
279,617,132991.0
165,166,132994.0
243,493,132995.0
344,100,132995.0
243,427,132995.0
243,520,132995.0
166,165,132996.0
151,63,132997.0
520,243,132997.0
163,164,132998.0
163,304,132998.0
163,494,132998.0
187,156,133001.0
15,56,133002.0
15,568,133002.0
15,100,133002.0
15,198,133002.0
378,476,133004.0
378,290,133004.0
439,455,133013.0
439,621,133013.0
628,116,133015.0
356,185,133025.0
498,328,133035.0
401,193,133038.0
401,372,133038.0
92,643,133043.0
455,159,133043.0
455,439,133043.0
191,589,133050.0
191,291,133050.0
191,546,133050.0
98,544,133051.0
318,319,133053.0
318,459,133053.0
453,494,133054.0
358,182,133058.0
289,642,133059.0
203,133,133070.0
80,524,133071.0
118,159,133073.0
263,96,133073.0
133,203,133077.0
133,481,133077.0
133,326,133077.0
133,93,133077.0
193,190,133081.0
443,642,133082.0
301,300,133086.0
147,479,133089.0
200,619,133096.0
183,286,133097.0
183,121,133097.0
183,104,133097.0
183,217,133097.0
183,74,133097.0
567,92,133099.0
136,136,133099.0
136,512,133099.0
567,643,133099.0
300,301,133103.0
104,15497,133103.0
152,139,133104.0
152,568,133104.0
185,356,133104.0
152,144,133104.0
45,430,133105.0
16,572,133106.0
16,306,133106.0
56,198,133112.0
52,13,133120.0
244,52,133128.0
244,51,133128.0
96,263,133129.0
237,203,133133.0
237,481,133133.0
237,133,133133.0
237,93,133133.0
304,164,133137.0
304,163,133137.0
474,64,133138.0
596,64,133138.0
474,596,133138.0
396,556,133140.0
174,118,133143.0
174,257,133143.0
319,318,133153.0
319,649,133153.0
391,368,133153.0
391,434,133153.0
391,617,133153.0
221,524,133160.0
436,331,133160.0
436,257,133160.0
229,205,133163.0
229,614,133163.0
229,276,133163.0
217,74,133169.0
217,49,133169.0
217,15497,133169.0
264,243,133171.0
264,234,133171.0
100,198,133185.0
100,56,133185.0
403,244,133187.0
195,139,133190.0
195,568,133190.0
190,193,133200.0
230,589,133203.0
230,546,133203.0
162,189,133209.0
13,52,133213.0
198,100,133214.0
46,136,133217.0
46,512,133217.0
456,246,133217.0
65,240,133219.0
65,503,133219.0
568,416,133222.0
568,139,133222.0
377,136,133227.0
377,512,133227.0
468,116,133227.0
468,628,133227.0
161,680,133229.0
433,380,133232.0
572,16,133233.0
246,456,133234.0
91,459,133237.0
91,319,133237.0
407,465,133237.0
642,289,133241.0
642,443,133241.0
353,56,133242.0
353,198,133242.0
427,493,133243.0
427,243,133243.0
176,556,133245.0
617,391,133250.0
189,645,133251.0
333,641,133253.0
333,556,133253.0
465,407,133255.0
50,435,133258.0
494,164,133258.0
10,515,133261.0
179,812,133269.0
136,377,133272.0
227,159,133275.0
227,225,133275.0
227,118,133275.0
288,74,133276.0
205,229,133279.0
205,614,133279.0
580,178,133281.0
580,283,133281.0
619,200,133281.0
207,139,133281.0
207,465,133281.0
575,106,133282.0
416,568,133285.0
204,161,133287.0
204,164,133287.0
204,163,133287.0
303,53,133289.0
163,164,133292.0
163,494,133292.0
163,304,133292.0
243,427,133293.0
243,234,133293.0
243,520,133293.0
520,243,133294.0
165,166,133295.0
166,165,133296.0
151,63,133296.0
556,396,133301.0
159,248,133307.0
159,227,133307.0
491,96,133307.0
159,118,133307.0
159,439,133307.0
491,298,133307.0
51,376,133325.0
93,203,133328.0
93,481,133328.0
93,133,133328.0
49,286,133329.0
49,217,133329.0
439,455,133330.0
401,193,133338.0
276,614,133338.0
276,229,133338.0
276,240,133338.0
92,643,133343.0
419,557,133345.0
392,619,133346.0
455,225,133349.0
455,118,133349.0
346,439,133349.0
455,621,133349.0
455,439,133349.0
191,589,133350.0
191,588,133350.0
191,291,133350.0
98,86,133351.0
318,319,133354.0
116,628,133355.0
289,642,133360.0
133,93,133374.0
430,45,133374.0
133,481,133374.0
118,225,133377.0
118,159,133377.0
203,133,133377.0
203,93,133377.0
118,455,133377.0
203,326,133377.0
443,642,133382.0
297,403,133382.0
175,309,133389.0
183,104,133392.0
183,121,133392.0
301,238,133398.0
567,92,133399.0
567,643,133399.0
200,619,133400.0
104,15497,133403.0
185,356,133404.0
16,306,133407.0
291,588,133408.0
291,324,133408.0
291,191,133408.0
291,546,133408.0
291,589,133408.0
277,248,133412.0
277,39,133412.0
52,13,133413.0
394,140,133416.0
237,93,133424.0
237,133,133424.0
237,481,133424.0
96,298,133429.0
304,163,133438.0
304,474,133438.0
304,164,133438.0
19,291,133440.0
19,589,133440.0
19,191,133440.0
225,118,133442.0
225,227,133442.0
225,159,133442.0
174,331,133446.0
298,96,133447.0
298,491,133447.0
298,87,133447.0
324,589,133448.0
324,291,133448.0
324,546,133448.0
75,111,133455.0
75,607,133455.0
264,234,133469.0
391,617,133470.0
217,121,133471.0
217,288,133471.0
100,56,133474.0
706,503,133476.0
195,139,133481.0
195,568,133481.0
87,491,133492.0
309,106,133492.0
87,298,133492.0
309,493,133492.0
190,372,133497.0
230,324,133503.0
230,546,133503.0
230,588,133503.0
162,403,133507.0
481,133,133507.0
481,326,133507.0
162,13,133507.0
481,93,133507.0
481,562,133507.0
481,203,133507.0
198,100,133507.0
46,512,133517.0
46,377,133517.0
46,136,133517.0
568,416,133518.0
614,205,133527.0
377,512,133528.0
468,116,133528.0
377,136,133528.0
161,549,133529.0
161,204,133529.0
65,111,133533.0
13,52,133534.0
91,459,133537.0
111,65,133543.0
111,75,133543.0
427,243,133545.0
407,465,133546.0
189,645,133546.0
144,203,133548.0
331,436,133549.0
331,257,133549.0
331,621,133549.0
465,407,133550.0
333,641,133551.0
333,556,133551.0
240,524,133551.0
494,164,133557.0
494,163,133557.0
494,474,133557.0
617,391,133559.0
397,585,133562.0
179,812,133569.0
207,407,133571.0
207,465,133571.0
416,568,133575.0
416,139,133575.0
680,163,133578.0
288,121,133578.0
580,283,133580.0
205,229,133582.0
619,200,133582.0
204,163,133583.0
204,161,133583.0
204,164,133583.0
204,494,133583.0
227,225,133583.0
227,118,133583.0
227,455,133583.0
227,159,133583.0
204,549,133583.0
374,490,133592.0
368,391,133592.0
163,494,133592.0
163,164,133592.0
163,304,133592.0
243,427,133595.0
243,520,133595.0
165,166,133595.0
243,435,133595.0
151,63,133596.0
166,165,133596.0
344,198,133598.0
53,303,133602.0
378,290,133602.0
378,476,133602.0
303,53,133603.0
520,243,133611.0
159,455,133615.0
159,227,133615.0
159,118,133615.0
491,87,133619.0
491,96,133619.0
491,298,133619.0
439,346,133625.0
439,455,133625.0
439,118,133625.0
356,186,133625.0
356,480,133625.0
356,185,133625.0
401,193,133640.0
191,291,133651.0
191,589,133651.0
191,546,133651.0
318,319,133653.0
346,455,133654.0
346,225,133654.0
346,439,133654.0
455,439,133655.0
455,346,133655.0
455,159,133655.0
455,225,133655.0
455,118,133655.0
289,443,133659.0
289,642,133659.0
362,495,133673.0
203,326,133677.0
203,562,133677.0
203,133,133677.0
203,481,133677.0
118,455,133679.0
118,159,133679.0
297,403,133682.0
318,459,133687.0
318,319,133687.0
301,75,133689.0
424,100,133692.0
175,106,133693.0
183,104,133695.0
567,643,133699.0
200,619,133700.0
612,534,133700.0
185,356,133704.0
16,306,133707.0
291,546,133708.0
291,324,133708.0
291,588,133708.0
291,589,133708.0
291,191,133708.0
277,39,133708.0
